GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=4 sig=0x4e76dcd1
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x28db81ff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=Case name=Case type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=578 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=change name=change type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=584 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=check name=check type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=583 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=column name=column type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=584 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=DOUBLE name=DOUBLE type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=584 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=in name=in type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=580 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=Index name=Index type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=583 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=into name=into type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=582 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=is name=is type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=580 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=match name=match type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=578 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=numeric name=numeric type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=585 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=option name=option type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=584 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=order name=order type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=583 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=replace name=replace type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=578 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=right name=right type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=578 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=Select name=Select type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=584 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=SET name=SET type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=581 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=Specific name=Specific type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=586 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=SQL name=SQL type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=581 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=SQL-Injection name=SQL-Injection type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=591 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=TABLE name=TABLE type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=583 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=to name=to type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=580 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=update name=update type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=584 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=values name=values type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=578 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=where name=where type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=583 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-With200Errors.jsp DATA:orderby=with name=with type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=578 notes=2 sig=0x429119f2
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp name=Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=696 notes=2 sig=0x289ff055
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=1 name=transactionId type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=532 notes=3 sig=0x6194d644
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=and name=and type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=593 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=BY name=BY type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=592 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=Case name=Case type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=589 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=change name=change type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=596 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=check name=check type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=595 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=column name=column type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=596 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=DOUBLE name=DOUBLE type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=596 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=for name=for type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=593 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=in name=in type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=592 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=Index name=Index type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=595 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=into name=into type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=594 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=is name=is type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=592 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=Match name=Match type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=589 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=numeric name=numeric type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=597 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=option name=option type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=596 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=order name=order type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=595 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=replace name=replace type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=589 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=right name=right type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=589 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=Select name=Select type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=596 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=SET name=SET type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=593 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=Specific name=Specific type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=598 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=SQL name=SQL type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=593 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=SQL-Injection name=SQL-Injection type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=603 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=TABLE name=TABLE type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=595 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=to name=to type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=592 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=transactionId name=transactionId type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=613 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=update name=update type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=596 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=use name=use type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=593 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=values name=values type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=589 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=where name=where type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=595 notes=2 sig=0x429119f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case06-InjectionInView-Numeric-PermissionBypass-With200Errors.jsp DATA:transactionId=with name=with type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=589 notes=2 sig=0x429119f2
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp name=Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=603 notes=2 sig=0x53400742
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=1 name=msgId type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=549 notes=4 sig=0xf6c9644
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=0 name=0 type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=10 name=10 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=100 name=100 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=100000000 name=100000000 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=101 name=101 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=109 name=109 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=11 name=11 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=12 name=12 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=1200 name=1200 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=13 name=13 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=14 name=14 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-200Error/Case07-InjectionInSearch-Numeric-UnionExploit-With200Errors.jsp DATA:msgId=15 name=15 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
