GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=4 sig=0x4cacdc1b
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x2a718139
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp name=Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=687 notes=2 sig=0x535f07d5
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=msgid name=orderby type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=746 notes=3 sig=0x7cf0e464
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=and name=and type=value linked=no browsers=0 browser_used=FAST dup=0 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=by name=by type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Case name=Case type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors name=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1558 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors name=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1550 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors name=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1554 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors name=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1558 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=change name=change type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=check name=check type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=column name=column type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=div name=div type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Double name=Double type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=for name=for type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=from name=from type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=in name=in type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Index name=Index type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=into name=into type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Numeric name=Numeric type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1502 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=order name=order type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=right name=right type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Sql name=Sql type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=SQL-Injection name=SQL-Injection type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1514 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=TABLE name=TABLE type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=to name=to type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=UPDATE name=UPDATE type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=values name=values type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=where name=where type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case05-InjectionInSearchOrderBy-String-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=With name=With type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp name=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=693 notes=2 sig=0x2881f06b
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=1 name=transactionId type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=532 notes=3 sig=0x6c023c65
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=and name=and type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1520 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=by name=by type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1518 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=Case name=Case type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1512 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors name=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1584 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors name=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1576 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors name=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1580 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors name=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1584 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=change name=change type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1526 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=check name=check type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1524 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=column name=column type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1526 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=div name=div type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1520 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=Double name=Double type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1526 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=for name=for type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1520 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=from name=from type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1522 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=in name=in type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1518 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=Index name=Index type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1524 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=into name=into type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1522 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=Numeric name=Numeric type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1528 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=order name=order type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1524 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=right name=right type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1512 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=Sql name=Sql type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1520 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=SQL-Injection name=SQL-Injection type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1540 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case06-InjectionInView-Numeric-PermissionBypass-WithErrors.jsp DATA:transactionId=TABLE name=TABLE type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1524 notes=3 sig=0x429248b7
